Numéro Région,libellé,nom court,secteur d'établissement,Région,Departement2,Page Wikipédia en français
0,Université de Guyane,Université Guyane,public,Guyane,97,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Guyane
76,Nîmes université,,public,Occitanie,30,
84,Université Jean Monnet,,public,Auvergne-Rhône-Alpes,42,
76,Université de Montpellier,,public,Occitanie,34,
11,Centre des hautes études de la construction,,privé,Île-de-France,94,https://fr.wikipedia.org/wiki/Centre_des_hautes_%C3%A9tudes_de_la_construction
53,ECAM Rennes Louis de Broglie,ECAM Rennes,privé,Bretagne,35,https://fr.wikipedia.org/wiki/ECAM_Louis_de_Broglie
84,École supérieure de chimie physique électronique de Lyon,CPE Lyon,privé,Auvergne-Rhône-Alpes,69,"https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_de_chimie,_physique,_%C3%A9lectronique_de_Lyon"
52,École supérieure d'électronique de l'Ouest,ESEO,privé,Pays de la Loire,49,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27%C3%A9lectronique_de_l%27Ouest
11,Institut national des langues et civilisations orientales,INALCO,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Institut_national_des_langues_et_civilisations_orientales
11,Conservatoire national des arts et métiers,,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Conservatoire_national_des_arts_et_m%C3%A9tiers
11,École nationale supérieure d'architecture de Paris-La Villette,ENSAPLV,public,Île-de-France,75,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27architecture_de_Paris-La_Villette
11,École nationale supérieure d'informatique pour l'industrie et l'entreprise,,public,Île-de-France,91,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27informatique_pour_l%27industrie_et_l%27entreprise
52,École supérieure des sciences commerciales d'Angers,,privé,Pays de la Loire,49,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_des_sciences_commerciales_d%27Angers
53,Institut catholique de Rennes,,privé,Bretagne,35,https://fr.wikipedia.org/wiki/Institut_catholique_de_Rennes
11,Institut national d'histoire de l'art,,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Institut_national_d%27histoire_de_l%27art
76,Institut national universitaire Jean-François Champollion,INU Albi,public,Occitanie,81,https://fr.wikipedia.org/wiki/Institut_national_universitaire_Jean-Fran%C3%A7ois-Champollion
11,Institut polytechnique des sciences avancées,IPSA,privé,Île-de-France,94,https://fr.wikipedia.org/wiki/Institut_polytechnique_des_sciences_avanc%C3%A9es
76,MBS,,privé,Occitanie,34,https://fr.wikipedia.org/wiki/Montpellier_Business_School
11,Université Paris sciences et lettres,Université PSL,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Universit%C3%A9_Paris_Sciences_et_Lettres
32,Centrale Lille Institut,,public,Hauts-de-France,59,https://fr.wikipedia.org/wiki/%C3%89cole_centrale_de_Lille
52,École d'ingénieur d'agro-développement international,ISTOM,privé,Pays de la Loire,49,https://fr.wikipedia.org/wiki/ISTOM_-_%C3%89cole_sup%C3%A9rieure_d%27agro-d%C3%A9veloppement_international
11,École nationale supérieure d'architecture de Paris-Belleville,ENSAPB,public,Île-de-France,75,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27architecture_de_Paris-Belleville
11,École nationale supérieure de l'électronique et de ses applications de Cergy,,public,Île-de-France,95,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_de_l%27%C3%A9lectronique_et_de_ses_applications
11,École pour l'informatique et les techniques avancées,EPITA,privé,Île-de-France,94,https://fr.wikipedia.org/wiki/%C3%89cole_pour_l%27informatique_et_les_techniques_avanc%C3%A9es
76,Sciences Po Toulouse,IEP de Toulouse,public,Occitanie,31,https://fr.wikipedia.org/wiki/Institut_d%27%C3%A9tudes_politiques_de_Toulouse
0,Université de la Nouvelle-Calédonie,,public,Collectivités d'outre-mer,98,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_la_Nouvelle-Cal%C3%A9donie
24,Université de Tours,Université Tours,public,Centre-Val de Loire,37,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Tours
0,Université des Antilles,,public,Guadeloupe,97,https://fr.wikipedia.org/wiki/Universit%C3%A9_des_Antilles
11,Université d'Évry-Val-d'Essonne,,public,Île-de-France,91,https://fr.wikipedia.org/wiki/Universit%C3%A9_d%27%C3%89vry
93,ISEN Yncréa Méditerranée,Yncréa Méditerranée,privé,Provence-Alpes-Côte d'Azur,83,
52,Audencia Business School,Audencia,privé,Pays de la Loire,44,https://fr.wikipedia.org/wiki/Audencia
11,École des hautes études en sciences sociales,,public,Île-de-France,75,https://fr.wikipedia.org/wiki/%C3%89cole_des_hautes_%C3%A9tudes_en_sciences_sociales
76,École nationale supérieure de formation de l’enseignement agricole,,public,Occitanie,31,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_de_formation_de_l%27enseignement_agricole
28,École supérieure d'art et design Le Havre-Rouen,ESADHaR,public,Normandie,76,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27art_et_design_Le_Havre-Rouen
28,BUILDERS École d'ingénieurs,BUILDERS Caen,privé,Normandie,14,https://fr.wikipedia.org/wiki/Builders_%C3%89cole_d%E2%80%99ing%C3%A9nieurs
32,Hautes études d'ingénieur,,privé,Hauts-de-France,59,https://fr.wikipedia.org/wiki/%C3%89cole_des_hautes_%C3%A9tudes_d%27ing%C3%A9nieur
32,Skema Business School,Skema,privé,Hauts-de-France,59,https://fr.wikipedia.org/wiki/Skema_Business_School
11,Université Paris Cité,UP Cité,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Universit%C3%A9_Paris-Cit%C3%A9
32,Université de Picardie Jules-Verne,,public,Hauts-de-France,80,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Picardie_Jules-Verne
44,Université de Reims Champagne-Ardenne,URCA,public,Grand Est,51,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Reims-Champagne-Ardenne
93,Ecole de l'air et de l'espace,,public,Provence-Alpes-Côte d'Azur,13,https://fr.wikipedia.org/wiki/%C3%89cole_de_l%27air_et_de_l%27espace
75,EIGSI La Rochelle,,privé,Nouvelle-Aquitaine,17,https://fr.wikipedia.org/wiki/%C3%89cole_d%27ing%C3%A9nieurs_g%C3%A9n%C3%A9ralistes_-_La_Rochelle
11,École française d'Extrême-Orient,,public,Île-de-France,75,https://fr.wikipedia.org/wiki/%C3%89cole_fran%C3%A7aise_d%27Extr%C3%AAme-Orient
11,École nationale des ponts et chaussées,,public,Île-de-France,77,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_des_ponts_et_chauss%C3%A9es
52,"École nationale vétérinaire, agroalimentaire et de l'alimentation, Nantes-Atlantique",,public,Pays de la Loire,44,"https://fr.wikipedia.org/wiki/%C3%89cole_nationale_v%C3%A9t%C3%A9rinaire,_agroalimentaire_et_de_l%27alimentation_de_Nantes-Atlantique"
76,Toulouse INP,Toulouse INP,public,Occitanie,31,https://fr.wikipedia.org/wiki/Institut_national_polytechnique_de_Toulouse
75,Bordeaux INP,,public,Nouvelle-Aquitaine,33,https://fr.wikipedia.org/wiki/Institut_polytechnique_de_Bordeaux
84,Institut textile et chimique,ITECH,privé,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/Institut_textile_et_chimique_de_Lyon
52,Université d'Angers,,public,Pays de la Loire,49,https://fr.wikipedia.org/wiki/Universit%C3%A9_d%27Angers
11,Université de Versailles Saint-Quentin-en-Yvelines,UVSQ,public,Île-de-France,78,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Versailles_%E2%80%93_Saint-Quentin-en-Yvelines
24,Université d'Orléans,,public,Centre-Val de Loire,45,https://fr.wikipedia.org/wiki/Universit%C3%A9_d%27Orl%C3%A9ans
11,Université Paris 8 - Vincennes - Saint-Denis,Paris VIII,public,Île-de-France,93,https://fr.wikipedia.org/wiki/Universit%C3%A9_Paris-VIII-Vincennes-Saint-Denis
11,Institut français de la mode,,privé,Île-de-France,75,https://fr.wikipedia.org/wiki/Institut_fran%C3%A7ais_de_la_mode
11,École de biologie industrielle,EBI,privé,Île-de-France,95,https://fr.wikipedia.org/wiki/%C3%89cole_de_biologie_industrielle
76,École nationale de la météorologie,ENM,public,Occitanie,31,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_de_la_m%C3%A9t%C3%A9orologie
53,École navale,,public,Bretagne,29,https://fr.wikipedia.org/wiki/%C3%89cole_navale
52,Facultés libres de l'Ouest,FLO,privé,Pays de la Loire,49,https://fr.wikipedia.org/wiki/Universit%C3%A9_catholique_de_l%27Ouest
11,"Institut national d'enseignement supérieur pour l'agriculture, l'alimentation et l'environnement",Institut Agro,public,Île-de-France,75,"https://fr.wikipedia.org/wiki/Institut_national_d%27enseignement_sup%C3%A9rieur_pour_l%27agriculture,_l%27alimentation_et_l%27environnement"
11,ISAE-Supméca,,public,Île-de-France,93,https://fr.wikipedia.org/wiki/Institut_sup%C3%A9rieur_de_m%C3%A9canique_de_Paris
76,Institut supérieur des arts de Toulouse,ISDAT,public,Occitanie,31,https://fr.wikipedia.org/wiki/Institut_sup%C3%A9rieur_des_arts_et_du_design_de_Toulouse
28,Université Le Havre Normandie,,public,Normandie,76,https://fr.wikipedia.org/wiki/Universit%C3%A9_Le_Havre_Normandie
11,Université Paris-Panthéon-Assas,Panthéon-Assas,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Universit%C3%A9_Paris-Panth%C3%A9on-Assas
