Numéro Région,libellé,nom court,secteur d'établissement,Région,Departement2,Page Wikipédia en français,géolocalisation,latitude_ecole,longitude_ecole
76,École nationale vétérinaire de Toulouse,,public,Occitanie,31,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_v%C3%A9t%C3%A9rinaire_de_Toulouse,"43.6004, 1.3819",43.6004,1.3819
11,"École spéciale des travaux publics, du bâtiment et de l'industrie",ESTP,privé,Île-de-France,94,"https://fr.wikipedia.org/wiki/%C3%89cole_sp%C3%A9ciale_des_travaux_publics,_du_b%C3%A2timent_et_de_l%27industrie","48.79422078629043, 2.328532934188843",48.79422078629043,2.328532934188843
11,École supérieure d'informatique électronique automatique,,privé,Île-de-France,75,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27informatique_%C3%A9lectronique_automatique,"48.83788, 2.352616",48.83788,2.352616
11,Institut catholique de Paris,,privé,Île-de-France,75,https://fr.wikipedia.org/wiki/Institut_catholique_de_Paris,"48.8483, 2.32936",48.8483,2.32936
84,Vet Agro Sup,Vet Agro Sup,public,Auvergne-Rhône-Alpes,69,"https://fr.wikipedia.org/wiki/Institut_national_d%27enseignement_sup%C3%A9rieur_et_de_recherche_en_alimentation,_sant%C3%A9_animale,_sciences_agronomiques_et_de_l%27environnement","45.793314788437215, 4.711171388626099",45.793314788437215,4.711171388626099
44,Institut régional du travail social de Champagne-Ardennes,IRTS Champagne-Ardenne,privé,Grand Est,51,,"49.231082, 4.002474",49.231082,4.002474
11,Sorbonne Université,Sorbonne U,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Sorbonne_Universit%C3%A9,"48.85114773764701, 2.3403829336166386",48.85114773764701,2.3403829336166386
75,Université de Limoges,,public,Nouvelle-Aquitaine,87,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Limoges,"45.82604, 1.25853",45.82604,1.25853
44,Université de technologie de Troyes,,public,Grand Est,10,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_technologie_de_Troyes,"48.26834, 4.06794",48.26834,4.06794
11,Université Sorbonne Nouvelle - Paris 3,Paris III,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Universit%C3%A9_Sorbonne-Nouvelle,"48.844881806752355, 2.39701509475708",48.844881806752355,2.39701509475708
11,École nationale supérieure d'arts de Paris-Cergy,ENSAPC,public,Île-de-France,95,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27arts_de_Paris-Cergy,"49.03643, 2.07795",49.03643,2.07795
84,École nationale supérieure des sciences de l'information et des bibliothèques,,public,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_des_sciences_de_l%27information_et_des_biblioth%C3%A8ques,"45.7803, 4.86229",45.7803,4.86229
11,École nationale vétérinaire d'Alfort,,public,Île-de-France,94,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_v%C3%A9t%C3%A9rinaire_d%27Alfort,"48.81474, 2.42152",48.81474,2.42152
52,École supérieure d’agriculture,ESA,privé,Pays de la Loire,49,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_des_agricultures,"47.458784, -0.543657",47.458784,-0.543657
44,École supérieure d'art et de design de Reims,ESAD Reims,public,Grand Est,51,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27art_et_de_design_de_Reims,"49.252304, 4.029733",49.252304,4.029733
11,Institut national des sciences et techniques nucléaires,INSTN,public,Île-de-France,91,https://fr.wikipedia.org/wiki/Institut_national_des_sciences_et_techniques_nucl%C3%A9aires,"48.723847, 2.153444",48.723847,2.153444
53,Institut supérieur de l'électronique et du numérique de Brest,Yncréa Ouest,privé,Bretagne,29,,"48.407023, -4.495576",48.407023,-4.495576
11,IPAG Business School,,privé,Île-de-France,75,https://fr.wikipedia.org/wiki/IPAG_Business_School,"48.85497, 2.331248",48.85497,2.331248
11,Muséum national d'histoire naturelle,,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Mus%C3%A9um_national_d%27histoire_naturelle,"48.84202, 2.35616",48.84202,2.35616
93,Avignon Université,,public,Provence-Alpes-Côte d'Azur,84,https://fr.wikipedia.org/wiki/Avignon_Universit%C3%A9,"43.95005, 4.81789",43.95005,4.81789
84,École nationale supérieure des arts et techniques du théâtre,,public,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_des_arts_et_techniques_du_th%C3%A9%C3%A2tre,"45.75331, 4.81132",45.75331,4.81132
32,Université d'Artois,,public,Hauts-de-France,62,https://fr.wikipedia.org/wiki/Universit%C3%A9_d%27Artois,"50.2847, 2.79112",50.2847,2.79112
53,Université Bretagne Sud,,public,Bretagne,56,https://fr.wikipedia.org/wiki/Universit%C3%A9_Bretagne-Sud,"47.74618, -3.39072",47.74618,-3.39072
32,Université du Littoral Côte d’Opale,,public,Hauts-de-France,59,https://fr.wikipedia.org/wiki/Universit%C3%A9_du_Littoral-C%C3%B4te-d%27Opale,"51.039, 2.37183",51.039,2.37183
11,Université Paris-Est Créteil,,public,Île-de-France,94,https://fr.wikipedia.org/wiki/Universit%C3%A9_Paris-Est-Cr%C3%A9teil-Val-de-Marne,"48.78852, 2.4437",48.78852,2.4437
44,Y SCHOOLS,Y SCHOOLS,privé,Grand Est,10,https://fr.wikipedia.org/wiki/South_Champagne_Business_School,"48.28417, 4.07982",48.28417,4.07982
53,Brest Business School,Brest BS,privé,Bretagne,29,https://fr.wikipedia.org/wiki/Brest_Business_School,"48.4059433199, -4.5215645694",48.4059433199,-4.5215645694
44,École française d'Athènes,,public,Étranger,10,https://fr.wikipedia.org/wiki/%C3%89cole_fran%C3%A7aise_d%27Ath%C3%A8nes,"37.982222, 23.737778",37.982222,23.737778
53,École spéciale militaire de Saint-Cyr,ESM ST CYR,public,Bretagne,56,https://fr.wikipedia.org/wiki/%C3%89cole_sp%C3%A9ciale_militaire_de_Saint-Cyr,"47.94619, -2.152742",47.94619,-2.152742
11,École supérieure de fonderie et de forge,ESFF,privé,Île-de-France,92,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_de_fonderie_et_de_forge,"48.822532, 2.224391",48.822532,2.224391
11,Groupe Institut catholique d'arts et métiers,Groupe ICAM,privé,Île-de-France,75,https://fr.wikipedia.org/wiki/Institut_catholique_d%27arts_et_m%C3%A9tiers,"48.87961, 2.328815",48.87961,2.328815
84,Institut supérieur d’agriculture Rhône-Alpes,Isara-Lyon,privé,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/Institut_sup%C3%A9rieur_d%27agriculture_Rh%C3%B4ne-Alpes,"45.727895, 4.836377",45.727895,4.836377
52,ISMANS,,privé,Pays de la Loire,72,https://fr.wikipedia.org/wiki/Institut_sup%C3%A9rieur_des_mat%C3%A9riaux_du_Mans,"48.019687, 0.157589",48.019687,0.157589
11,"Institut supérieur international du parfum, de la cosmétique et de l'aromatique alimentaire",ISIPCA,privé,Île-de-France,78,,"48.817017, 2.141886",48.817017,2.141886
75,KEDGE Business School,KEDGE BS,privé,Nouvelle-Aquitaine,33,https://fr.wikipedia.org/wiki/Kedge_Business_School,"44.79622, -0.600218",44.79622,-0.600218
0,Université de la Polynésie Française,,public,Collectivités d'outre-mer,98,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_la_Polyn%C3%A9sie_fran%C3%A7aise,"-17.57685, -149.60684",-17.57685,-149.60684
76,Université de Toulouse,,public,Occitanie,31,,"43.561566, 1.463029",43.561566,1.463029
11,Université Paris Nanterre,Paris Nanterre,public,Île-de-France,92,https://fr.wikipedia.org/wiki/Universit%C3%A9_Paris-Nanterre,"48.90329925253182, 2.213155031204224",48.90329925253182,2.213155031204224
53,Université Rennes 2,Rennes II,public,Bretagne,35,https://fr.wikipedia.org/wiki/Universit%C3%A9_Rennes-II,"48.12064, -1.70333",48.12064,-1.70333
84,Université Savoie Mont Blanc,,public,Auvergne-Rhône-Alpes,73,https://fr.wikipedia.org/wiki/Universit%C3%A9_Savoie-Mont-Blanc,"45.56676, 5.9175",45.56676,5.9175
93,Centrale Méditerranée,,public,Provence-Alpes-Côte d'Azur,13,https://fr.wikipedia.org/wiki/Centrale_M%C3%A9diterran%C3%A9e,"43.34136, 5.43829",43.34136,5.43829
24,École française de Rome,EFR,public,Étranger,18,https://fr.wikipedia.org/wiki/%C3%89cole_fran%C3%A7aise_de_Rome,"41.89488, 12.47096",41.89488,12.47096
75,École nationale supérieure de mécanique et d'aérotechnique de Poitiers,,public,Nouvelle-Aquitaine,86,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_de_m%C3%A9canique_et_d%27a%C3%A9rotechnique,"46.661, 0.362013",46.661,0.362013
84,École normale supérieure de Lyon,ENS de Lyon,public,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/%C3%89cole_normale_sup%C3%A9rieure_de_Lyon,"45.7337, 4.83376",45.7337,4.83376
11,École supérieure des techniques aéronautiques et de construction automobile,ESTACA,privé,Île-de-France,78,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_des_techniques_a%C3%A9ronautiques_et_de_construction_automobile,"48.787656, 2.041412",48.787656,2.041412
11,École supérieure d'ingénieurs des travaux de la construction de Paris,ESITC Paris,privé,Île-de-France,94,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27ing%C3%A9nieurs_des_travaux_de_la_construction_de_Paris,"48.80497, 2.3256",48.80497,2.3256
93,Institut supérieur du bâtiment et des travaux publics,ISBA TP,privé,Provence-Alpes-Côte d'Azur,13,https://fr.wikipedia.org/wiki/Institut_sup%C3%A9rieur_du_b%C3%A2timent_et_des_travaux_publics,"43.247519881264544, 5.437304377555848",43.247519881264544,5.437304377555848
76,Université de Perpignan Via Domitia,,public,Occitanie,66,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Perpignan,"42.6844, 2.89854",42.6844,2.89854
11,École nationale des sciences géographiques,ENSG-Géomatique,public,Île-de-France,77,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_des_sciences_g%C3%A9ographiques,"48.84105, 2.58736",48.84105,2.58736
11,Ecole Nationale Supérieure des Beaux-Arts de Paris,Beaux-Arts de Paris,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Beaux-Arts_de_Paris,"48.856491, 2.334499",48.856491,2.334499
28,École nationale supérieure maritime,,public,Normandie,76,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_maritime,"49.48841, 0.12238",49.48841,0.12238
11,ESIEE Paris,,privé,Île-de-France,93,,"48.83999, 2.58392",48.83999,2.58392
84,Institut catholique de Lyon,UCLY,privé,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/Universit%C3%A9_catholique_de_Lyon,"45.74658, 4.82637",45.74658,4.82637
11,IAE Paris - Sorbonne Business School,IAE de Paris,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Institut_d%27administration_des_entreprises_de_Paris,"48.83839, 2.348565",48.83839,2.348565
84,Sciences Po Lyon,IEP de Lyon,public,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/Institut_d%27%C3%A9tudes_politiques_de_Lyon,"45.7471, 4.8354",45.7471,4.8354
11,Institut Sup'Biotech de Paris,Sup'Biotech,privé,Île-de-France,94,,"48.798078, 2.35715",48.798078,2.35715
11,Institut supérieur du commerce de Paris,ISC Paris Business School,privé,Île-de-France,75,https://fr.wikipedia.org/wiki/Institut_sup%C3%A9rieur_du_commerce_de_Paris,"48.892604, 2.301231",48.892604,2.301231
28,Université Côte d'Azur,,public,Provence-Alpes-Côte d'Azur,61,,"43.71693, 7.26664",43.71693,7.26664
28,Université de Caen Normandie,UNICAEN,public,Normandie,14,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Caen-Normandie,"49.18884, -0.36382",49.18884,-0.36382
84,Université Grenoble Alpes,,public,Auvergne-Rhône-Alpes,38,https://fr.wikipedia.org/wiki/Universit%C3%A9_Grenoble-Alpes,"45.19159, 5.76726",45.19159,5.76726
84,Université Lumière - Lyon 2,Lyon II,public,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/Universit%C3%A9_Lumi%C3%A8re-Lyon-II,"45.75061375319093, 4.837181568145753",45.75061375319093,4.837181568145753
0,Université de Mayotte,,public,Mayotte,97,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Mayotte,"-12.84547, 45.18741",-12.84547,45.18741
28,École de management de Normandie,EM Normandie,privé,Normandie,76,https://fr.wikipedia.org/wiki/EM_Normandie_Business_School,"49.48939, 0.12522",49.48939,0.12522
84,École nationale supérieure d'architecture de Clermont-Ferrand,ENSACF,public,Auvergne-Rhône-Alpes,63,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27architecture_de_Clermont-Ferrand,"45.80157, 3.10341",45.80157,3.10341
28,École nationale supérieure d'architecture de Normandie,Ensa de Normandie,public,Normandie,76,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27architecture_de_Normandie,"49.43767, 1.1373",49.43767,1.1373
93,Sciences Po Aix,IEP d'Aix-en-Provence,public,Provence-Alpes-Côte d'Azur,13,https://fr.wikipedia.org/wiki/Institut_d%27%C3%A9tudes_politiques_d%27Aix-en-Provence,"43.53146, 5.44663",43.53146,5.44663
75,Sciences Po Bordeaux,IEP de Bordeaux,public,Nouvelle-Aquitaine,33,https://fr.wikipedia.org/wiki/Institut_d%27%C3%A9tudes_politiques_de_Bordeaux,"44.79886, -0.61409",44.79886,-0.61409
11,"Institut national du sport, de l'expertise et de la performance",,public,Île-de-France,75,"https://fr.wikipedia.org/wiki/Institut_national_du_sport,_de_l%27expertise_et_de_la_performance","48.833495221568754, 2.454103231430054",48.833495221568754,2.454103231430054
11,Institut polytechnique de Paris,IP Paris,public,Île-de-France,91,https://fr.wikipedia.org/wiki/Institut_polytechnique_de_Paris,"48.71317, 2.21022",48.71317,2.21022
11,Pôle supérieur d'enseignement artistique Paris - Boulogne-Billancourt,PSPBB,public,Île-de-France,75,,"48.878516, 2.320699",48.878516,2.320699
76,TBS Education,,privé,Occitanie,31,https://fr.wikipedia.org/wiki/TBS_Education,"43.610775, 1.429964",43.610775,1.429964
75,Université de Poitiers,Université Poitiers,public,Nouvelle-Aquitaine,86,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Poitiers,"46.58596, 0.34601",46.58596,0.34601
93,Université de Toulon,Université Toulon,public,Provence-Alpes-Côte d'Azur,83,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Toulon,"43.1369, 6.01684",43.1369,6.01684
11,École spéciale d'architecture,,privé,Île-de-France,75,https://fr.wikipedia.org/wiki/%C3%89cole_sp%C3%A9ciale_d%27architecture,"48.837534, 2.330967",48.837534,2.330967
53,Université de Rennes,UNIVRENNES,public,Bretagne,35,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Rennes,"48.114339, -1.636424",48.114339,-1.636424
93,Aix-Marseille Université,amU,public,Provence-Alpes-Côte d'Azur,13,https://fr.wikipedia.org/wiki/Universit%C3%A9_d%27Aix-Marseille,"43.2935, 5.35781",43.2935,5.35781
11,École du Louvre,EDL,public,Île-de-France,75,https://fr.wikipedia.org/wiki/%C3%89cole_du_Louvre,"48.86091, 2.33094",48.86091,2.33094
11,École nationale supérieure d'architecture de Paris-Malaquais,ENSAPM,public,Île-de-France,75,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27architecture_de_Paris-Malaquais,"48.85669993265381, 2.3335433006286626",48.85669993265381,2.3335433006286626
76,École nationale supérieure d'architecture de Toulouse,ENSA Toulouse,public,Occitanie,31,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27architecture_de_Toulouse,"43.579717, 1.397345",43.579717,1.397345
11,École nationale supérieure des arts décoratifs,ÉnsAD-Paris,public,Île-de-France,75,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_des_arts_d%C3%A9coratifs,"48.84278, 2.34466",48.84278,2.34466
11,Facultés Libres de Philosophie et de Psychologie,IPC,privé,Île-de-France,75,https://fr.wikipedia.org/wiki/IPC_-_Facult%C3%A9s_libres_de_philosophie_et_de_psychologie,"48.838, 2.33569",48.838,2.33569
44,Institut national des sciences appliquées de Strasbourg,INSA de Strasbourg,public,Grand Est,67,https://fr.wikipedia.org/wiki/Institut_national_des_sciences_appliqu%C3%A9es_de_Strasbourg,"48.582266, 7.764893",48.582266,7.764893
0,Université de Guyane,Université Guyane,public,Guyane,97,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Guyane,"4.93174, -52.30102",4.93174,-52.30102
76,Nîmes université,,public,Occitanie,30,,"43.84259819152813, 4.357001781463624",43.84259819152813,4.357001781463624
84,Université Jean Monnet,,public,Auvergne-Rhône-Alpes,42,,"45.424706, 4.392766",45.424706,4.392766
76,Université de Montpellier,,public,Occitanie,34,,"43.61494, 3.87347",43.61494,3.87347
11,Centre des hautes études de la construction,,privé,Île-de-France,94,https://fr.wikipedia.org/wiki/Centre_des_hautes_%C3%A9tudes_de_la_construction,"48.800733327820986, 2.327309846878052",48.800733327820986,2.327309846878052
53,ECAM Rennes Louis de Broglie,ECAM Rennes,privé,Bretagne,35,https://fr.wikipedia.org/wiki/ECAM_Louis_de_Broglie,"48.04692, -1.74357",48.04692,-1.74357
84,École supérieure de chimie physique électronique de Lyon,CPE Lyon,privé,Auvergne-Rhône-Alpes,69,"https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_de_chimie,_physique,_%C3%A9lectronique_de_Lyon","45.78415, 4.868928",45.78415,4.868928
52,École supérieure d'électronique de l'Ouest,ESEO,privé,Pays de la Loire,49,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27%C3%A9lectronique_de_l%27Ouest,"47.493396, -0.550804",47.493396,-0.550804
11,Institut national des langues et civilisations orientales,INALCO,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Institut_national_des_langues_et_civilisations_orientales,"48.82725533443922, 2.376024127006531",48.82725533443922,2.376024127006531
11,Conservatoire national des arts et métiers,,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Conservatoire_national_des_arts_et_m%C3%A9tiers,"48.86675796735145, 2.3554462194442753",48.86675796735145,2.3554462194442753
11,École nationale supérieure d'architecture de Paris-La Villette,ENSAPLV,public,Île-de-France,75,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27architecture_de_Paris-La_Villette,"48.89325, 2.38192",48.89325,2.38192
11,École nationale supérieure d'informatique pour l'industrie et l'entreprise,,public,Île-de-France,91,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27informatique_pour_l%27industrie_et_l%27entreprise,"48.6262, 2.43202",48.6262,2.43202
52,École supérieure des sciences commerciales d'Angers,,privé,Pays de la Loire,49,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_des_sciences_commerciales_d%27Angers,"47.47636, -0.60065",47.47636,-0.60065
53,Institut catholique de Rennes,,privé,Bretagne,35,https://fr.wikipedia.org/wiki/Institut_catholique_de_Rennes,"48.04855, -1.74461",48.04855,-1.74461
11,Institut national d'histoire de l'art,,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Institut_national_d%27histoire_de_l%27art,"48.866499, 2.338842",48.866499,2.338842
76,Institut national universitaire Jean-François Champollion,INU Albi,public,Occitanie,81,https://fr.wikipedia.org/wiki/Institut_national_universitaire_Jean-Fran%C3%A7ois-Champollion,"43.92, 2.139",43.92,2.139
11,Institut polytechnique des sciences avancées,IPSA,privé,Île-de-France,94,https://fr.wikipedia.org/wiki/Institut_polytechnique_des_sciences_avanc%C3%A9es,"48.814007, 2.393909",48.814007,2.393909
76,MBS,,privé,Occitanie,34,https://fr.wikipedia.org/wiki/Montpellier_Business_School,"43.621491, 3.833542",43.621491,3.833542
11,Université Paris sciences et lettres,Université PSL,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Universit%C3%A9_Paris_Sciences_et_Lettres,"48.85464, 2.33785",48.85464,2.33785
32,Centrale Lille Institut,,public,Hauts-de-France,59,https://fr.wikipedia.org/wiki/%C3%89cole_centrale_de_Lille,"50.60648, 3.13757",50.60648,3.13757
52,École d'ingénieur d'agro-développement international,ISTOM,privé,Pays de la Loire,49,https://fr.wikipedia.org/wiki/ISTOM_-_%C3%89cole_sup%C3%A9rieure_d%27agro-d%C3%A9veloppement_international,"47.4776, -0.60052",47.4776,-0.60052
11,École nationale supérieure d'architecture de Paris-Belleville,ENSAPB,public,Île-de-France,75,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27architecture_de_Paris-Belleville,"48.87529688720956, 2.3746132850646977",48.87529688720956,2.3746132850646977
11,École nationale supérieure de l'électronique et de ses applications de Cergy,,public,Île-de-France,95,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_de_l%27%C3%A9lectronique_et_de_ses_applications,"49.03937306943779, 2.0727896690368657",49.03937306943779,2.0727896690368657
11,École pour l'informatique et les techniques avancées,EPITA,privé,Île-de-France,94,https://fr.wikipedia.org/wiki/%C3%89cole_pour_l%27informatique_et_les_techniques_avanc%C3%A9es,"48.815598, 2.362943",48.815598,2.362943
76,Sciences Po Toulouse,IEP de Toulouse,public,Occitanie,31,https://fr.wikipedia.org/wiki/Institut_d%27%C3%A9tudes_politiques_de_Toulouse,"43.605603, 1.431672",43.605603,1.431672
0,Université de la Nouvelle-Calédonie,,public,Collectivités d'outre-mer,98,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_la_Nouvelle-Cal%C3%A9donie,"-22.26356, 166.40405",-22.26356,166.40405
