code_insee,name,tourism,latitude,longitude
69123,Fondation Bullukian,museum,45.7566217,4.8311317
69123,Cône de chantier,artwork,45.7823016,4.8762431
69123,Le Crêt d'Albigny,viewpoint,45.8571067,4.8191158
69123,Sans titre,artwork,45.7827672,4.8774353
69123,Grand Hôtel des Terreaux,hotel,45.7663019,4.831742
69123,N/A,viewpoint,45.7559228,4.8398693
69123,N/A,viewpoint,45.7567271,4.8403353
69123,Le Patineur,artwork,45.7686896,4.8375469
69123,Statue de Saint-Michel terrassant le dragon,artwork,45.7622689,4.8229305
69123,Statue de la Vierge Dorée,artwork,45.7620251,4.8224211
69123,Fourvière,information,45.7618911,4.8224325
69123,Hôtel Victoria,hotel,45.7481658,4.8285771
69123,Progression,artwork,45.7658695,4.8892741
69123,Neptune,hotel,45.7555672,4.8441799
69123,Le Rhino de l'INSA,artwork,45.783362,4.8747583
69123,Lyon Ouest Hôtel,hotel,45.8383373,4.7725072
69123,En Borde,information,45.8568811,4.7826044
69123,N/A,viewpoint,45.7463473,4.8078033
69123,Cris Hôtel,hotel,45.6771154,4.9187332
69123,N/A,information,45.6707871,4.9116169
69123,N/A,information,45.6592725,4.9009753
69123,Hôtel Campanile,hotel,45.7870035,4.7656168
69123,Rond-Point de l'Europe - sculpure giratoire,artwork,45.7743242,4.8939234
69123,Polyphème,artwork,45.7675929,4.8352734
69123,Poséidon,artwork,45.7676895,4.8353164
69123,Mémoire de Lyon,information,45.7677264,4.8357607
69123,Amphitrite,artwork,45.7677227,4.8352459
69123,Galatée,artwork,45.7676393,4.8353272
69123,N/A,artwork,45.767658,4.8352333
69123,Residence Montempo Lyon Cite Internationale,hotel,45.7851546,4.8562025
69123,Lyon Marriott Hotel Cité Internationale,hotel,45.7848147,4.8529476
69123,Hôtel du Helder,hotel,45.7520365,4.8402711
69123,N/A,viewpoint,45.7724326,4.8318468
69123,La Résidence,hotel,45.7552617,4.8304349
69123,Park&Suites Confort,hotel,45.7824243,4.8070347
69123,Ibis Styles,hotel,45.759311,4.8614129
69123,Ibis Budget,hotel,45.7595371,4.8614155
69123,Mercure,hotel,45.7597644,4.8614246
69123,ResidHotel Lyon Part Dieu,hotel,45.7556741,4.8592851
69123,Dock Ouest,hotel,45.7863976,4.8112506
69123,N/A,information,45.8129217,4.8942295
69123,N/A,information,45.8119119,4.8865915
69123,Lyonéon,artwork,45.7429277,4.8788498
69123,Ibis Lyon Caluire Cité Internationale,hotel,45.7896172,4.8599259
69123,Apparthotel,hotel,45.753074,4.8447975
69123,N/A,information,45.697888,4.8839805
69123,Le Chant des Canuts,artwork,45.7752053,4.8302988
69123,N/A,picnic_site,45.8046468,4.7641826
69123,N/A,picnic_site,45.8046095,4.7642469
69123,N/A,information,45.7715235,4.8408632
69123,Fontaine Croix-Tournus,artwork,45.7146781,4.8016598
69123,N/A,information,45.7746462,4.8105209
69123,Hôtel du Nord,hotel,45.7453448,4.8722502
69123,N/A,information,45.761668,4.841127
69123,Fedora Art Gallery,gallery,45.7684984,4.8260672
69123,N/A,information,45.7457329,4.8512934
69123,N/A,information,45.7471445,4.8546871
69123,N/A,information,45.7668656,4.8205792
69123,Le Petit Prince et Saint-Exupery,artwork,45.7574366,4.82992
69123,Aux Origines du Christianisme,information,45.7610287,4.8275456
69123,Saint-Antoine,hotel,45.7610834,4.8319573
69123,Académie Hôtel,hotel,45.7652661,4.827835
69123,N/A,artwork,45.7613205,4.8522946
69123,Relais de la Gare routière,hotel,45.6953474,4.9282059
69123,Ho36 opéra,hotel,45.7682069,4.8330207
69123,Boscolo Grand Hôtel,hotel,45.7607688,4.8371563
69123,Hôtel Saint-Michel,hotel,45.7504403,4.8474905
69123,N/A,viewpoint,45.7587868,4.8242256
69123,Hôtel d'Azur,hotel,45.7519789,4.8283971
69123,Hôtel Henri IV,hotel,45.7524404,4.8279454
69123,Hôtel d'Ainay,hotel,45.753117,4.8294029
69123,N/A,artwork,45.8522952,4.87258
69123,N/A,artwork,45.740995,4.8824381
69123,Musée d'histoire de la médecine et de la pharmacie de Lyon,museum,45.7414332,4.8805413
69123,N/A,viewpoint,45.7589117,4.8152471
69123,Truck,artwork,45.7842713,4.8521056
69123,Le Livreur de Pizza,artwork,45.7849032,4.8539587
69123,Être,artwork,45.7577191,4.8534844
69123,N/A,viewpoint,45.7579571,4.8213462
69123,N/A,information,45.7579783,4.8213719
69123,N/A,information,45.7589203,4.8212123
69123,Grand Pingouin,artwork,45.7831261,4.8498877
69123,Jeune Fille en roller,artwork,45.7837309,4.8509987
69123,Souvenir Unité Paix,artwork,45.7729143,4.8052543
69123,Entrée du musée gallo-romain de Lyon,museum,45.759028,4.8211073
69123,N/A,information,45.7571875,4.8544899
69123,N/A,information,45.7593003,4.8543419
69123,N/A,information,45.7574866,4.8216571
69123,Pyramide du centenaire,artwork,45.6838568,4.8466875
69123,Hôtel Silky,hotel,45.7630723,4.834532
69123,N/A,artwork,45.7825248,4.8908513
69123,N/A,hotel,45.8260237,4.8525417
69123,Le Bretillod,information,45.7772035,4.8437264
69123,Deux Pingouins,artwork,45.7852084,4.8559211
69123,Homme au téléphone,artwork,45.7852816,4.8574656
69123,Ours,artwork,45.7856114,4.8545575
69123,Lyon Asymmetrisch,artwork,45.7840283,4.852599
69123,World Markets,artwork,45.7841304,4.8532624
69123,N/A,picnic_site,45.7136224,4.7931035
69123,Mama Shelter,hotel,45.7469523,4.8450055
69123,Clos de la Rosette,attraction,45.8335307,4.8072341
69123,N/A,artwork,45.7454086,4.8483974
69123,Dombes Vernay,information,45.806295,4.8575712
69123,Hôtel Foch,hotel,45.7697413,4.8439253
69123,N/A,information,45.805814,4.7485501
69123,N/A,information,45.803169,4.7459379
69123,Statue de la Vierge Marie,artwork,45.8210142,4.9309757
69123,Claude Bernard,artwork,45.750932,4.8367143
69123,"Barthélemy Thimonnier, inventeur de la machine à coudre",artwork,45.7532772,4.850116
69123,N/A,information,45.7606968,4.8542481
69123,N/A,viewpoint,45.7692629,4.8253943
69123,N/A,viewpoint,45.758699,4.8234099
69123,N/A,viewpoint,45.7964561,4.8276474
69123,N/A,viewpoint,45.7967608,4.8301737
69123,Edmond W.,hotel,45.7685999,4.8564969
69123,N/A,viewpoint,45.8216666,4.8196728
69123,Sculpture,artwork,45.7820256,4.7957511
69123,Le Bois de Serres,information,45.7837323,4.7552265
69123,Jansavon,information,45.7863461,4.7549336
69123,Le Printemps,artwork,45.7753647,4.8307056
69123,N/A,artwork,45.7763871,4.8614131
69123,Le Belvédère et les lanternes de l'île Barbe,viewpoint,45.7958319,4.8297579
69123,Totem,artwork,45.6840828,4.8724015
69123,Hôtel Orsi,hotel,45.7695315,4.8490702
69123,Ho36,hostel,45.7529235,4.8420819
69123,Le Poids de Soi,artwork,45.761533,4.8292333
69123,Slo Hostel Lyon Saxe,hostel,45.755514,4.8456922
69123,N/A,viewpoint,45.7553845,4.8178819
69123,Boutique Souvenirs du Petit Musée de Guignol,museum,45.7639034,4.8281374
69123,Caborne,attraction,45.8416918,4.8005465
69123,Les Chemins de l'eau,information,45.7901733,4.8557768
69123,Lion,artwork,45.7906595,4.858327
69123,Alter'Hostel,hostel,45.7708922,4.8115414
69123,Hôtel Ibis Budget Lyon Confluence,hotel,45.743653,4.8258738
69123,Hôtel Ibis Styles Lyon Confluence,hotel,45.7434747,4.8257123
69123,Appart City Lyon Part-Dieu Garibaldi,hotel,45.7537348,4.8547864
69123,Best Western Hotel Charlemagne,hotel,45.7459628,4.8239225
69123,Statue équestre de Jeanne d'Arc,artwork,45.7714456,4.8439019
69123,Hôtel du Dauphiné,hotel,45.7505053,4.8289816
69123,Lyo Hôtel,hotel,45.7498662,4.8298983
69123,Hôtel des Savoies,hotel,45.7497375,4.8298235
69123,Hôtel De Verdun,hotel,45.7496005,4.8297605
69123,Hotelo,hotel,45.7493086,4.8294738
69123,B&B Hôtel Lyon Vénissieux,hotel,45.7164607,4.8570389
69123,B&B Hôtel Lyon Sud États-Unis,hotel,45.7191875,4.8717129
69123,N/A,information,45.8206092,4.9299077
69123,Promenade Rochecardon,information,45.812373,4.7822282
69123,N/A,artwork,45.7443331,4.8710665
69123,N/A,viewpoint,45.7770748,4.7933824
69123,N/A,information,45.7065833,4.7935542
69123,Borne multisensorielle,information,45.7403498,4.8197933
69123,Borne multisensorielle,information,45.74049,4.8193314
69123,Panneau d'Orientation Multisensoriel,information,45.7399992,4.819058
69123,Panneau d'Orientation Multisensoriel,information,45.7405683,4.8195161
69123,Le Jardin de Beauvoir,guest_house,45.7561827,4.818563
69123,Le Gourguillon,guest_house,45.7577647,4.8228448
69123,Gîte la mignonne,hotel,45.7977074,4.8266485
69123,Localyon,hotel,45.7679119,4.8347192
69123,N/A,information,45.7879312,4.8362653
69123,Dombes-Penthod,information,45.787936,4.836272
69123,Hôtel Iris,hotel,45.7666756,4.8371862
69123,N/A,viewpoint,45.7782205,4.7947017
69123,Ici,artwork,45.8053776,4.934115
69123,Harmonie Musicale,artwork,45.7609756,4.8624111
